0,,,ALNS++,WFI,LOG-UFPB,Vavavuma!,HustSmart,Alkaid-X,WouterCo
152,1815,Best sol.,1820,1815,1815,1815,1815,1815,1815
153,R1_2_10,PI,0.425634391,0.276864582,0.47110377,0.341286869,0.330904933,0.258366975,0.041423758
154,3293.1,Best sol.,3301.6,3297.7,3307.2,3298.4,3297.7,3298.4,3293.1
155,R1_2_1,PI,0.144553272,0.036300858,0.014439843,0.143570141,0.003660896,0.009304482,0.010662157
156,4667.2,Best sol.,4667.2,4667.2,4667.2,4670.6,4667.2,4667.4,4667.2
157,R1_2_2,PI,0.41645994,0.165562714,0.446686444,0.671272943,0.022059529,0.018919602,0.007766137
158,3919.9,Best sol.,3921.6,3921.6,3937.1,3937.1,3919.9,3919.9,3919.9
159,R1_2_3,PI,0.331556696,0.258380692,0.242445049,1.239423085,0.082449843,0.0964132,0.023313071
160,3373.9,Best sol.,3379.1,3381.4,3381.7,3396.4,3375.8,3376,3374.2
161,R1_2_4,PI,1.150772042,0.388514213,0.363233261,0.813368202,0.064757399,0.325325169,0.017512309
162,3047.6,Best sol.,3073.7,3056.1,3057.1,3066.1,3048.1,3054.7,3047.6
163,R1_2_5,PI,0.175569842,0.036379887,0.061137022,0.071758389,0.01505853,0.064682694,0.005368558
164,4053.2,Best sol.,4053.3,4053.3,4055.5,4055.5,4053.2,4055.7,4053.2
165,R1_2_6,PI,0.222442552,0.147920779,0.208776911,0.763440931,0.144067573,0.113961082,0.014480154
166,3559.1,Best sol.,3559.2,3560.4,3565.7,3585,3562.8,3560,3559.1
167,R1_2_7,PI,0.316320542,0.117791937,0.532671317,0.179137916,0.09759707,0.046743918,0.005124695
168,3141.9,Best sol.,3145.8,3144.1,3158.4,3141.9,3144.1,3141.9,3141.9
169,R1_2_8,PI,0.570723193,0.572699897,0.264971604,0.716019299,0.249861324,0.19892289,0.006591956
170,2938.4,Best sol.,2950.8,2950.9,2945,2958.8,2944.8,2938.4,2938.4
171,R1_2_9,PI,0.22362371,0.047006989,0.146733203,0.083442505,0.055797671,0.051517751,0.011264789
172,3734.7,Best sol.,3734.7,3734.7,3738.4,3734.7,3734.7,3736,3734.7
173,R2_2_10,PI,1.087549638,0.238895983,0.015334833,0.124069597,0.062573427,0.010838311,0.00689597
174,2549.4,Best sol.,2563.8,2553,2549.4,2549.4,2549.4,2549.4,2549.4
175,R2_2_1,PI,0.407905966,0.482194292,0.006738623,0.017542256,0.191501443,0.008653034,0.006338557
176,3468,Best sol.,3470.2,3478.8,3468,3468,3468,3468,3468
177,R2_2_2,PI,0.536087677,0.146903787,0.015939206,0.002387794,0.135460418,0.005275292,0.008463761
178,3008.2,Best sol.,3018.2,3010.9,3008.2,3008.2,3008.2,3008.2,3008.2
179,R2_2_3,PI,2.453018513,0.047758879,0.080992231,0.002265435,0.119873575,0.00454031,0.006475562
180,2537.5,Best sol.,2596.6,2537.5,2537.5,2537.5,2537.5,2537.5,2537.5
181,R2_2_4,PI,0.903049453,0.095507533,0.587650081,0.071938739,0.069805501,0.024782188,0.005802444
182,1928.5,Best sol.,1943.3,1928.5,1939.2,1928.5,1928.5,1928.5,1928.5
183,R2_2_5,PI,0.267739009,0.1199237,0.56812214,0.093011552,0.160892171,0.102417501,0.097731684
184,3061.1,Best sol.,3063.6,3062.7,3076.6,3063.8,3063.8,3063.8,3063.8
185,R2_2_6,PI,0.726577393,0.090774967,0.08946955,0.005962892,0.116665672,0.025347852,0.008066036
186,2675.4,Best sol.,2689.2,2675.4,2675.5,2675.4,2675.5,2675.4,2675.4
