12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_8_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 31199.630
BKS: 28363.3
Optimal: 0
Wed 26 Jan 2022 11:41:45 PM CST
timestamp: 1643211705
Solution value, local machine time, standardized time
29108.3 613.474 607.646
29106.4 613.488 607.660
29106.1 613.515 607.687
29105.4 613.516 607.688
29101.7 613.720 607.890
29101.2 613.808 607.977
29097.5 614.056 608.222
29085.1 708.174 701.446
29083.9 713.824 707.043
29082.2 717.228 710.414
29080.3 717.235 710.421
29079.6 721.679 714.823
29079.5 722.962 716.094
29077.0 723.902 717.025
29075.3 725.399 718.508
29071.9 727.658 720.745
29066.0 727.659 720.746
29065.8 727.660 720.747
29064.6 727.661 720.748
29062.9 727.661 720.748
29062.3 727.662 720.749
29058.7 728.068 721.151
29056.8 728.069 721.152
29055.7 728.070 721.153
29048.4 728.456 721.536
29048.3 735.008 728.025
29048.0 736.606 729.608
29047.3 736.632 729.634
29046.8 736.948 729.947
29046.0 746.757 739.663
29045.7 747.024 739.927
29035.4 750.554 743.424
29031.0 750.555 743.425
29028.0 750.555 743.425
29014.9 750.763 743.631
29013.5 755.919 748.738
29013.1 762.504 755.260
29012.3 762.505 755.261
29002.1 774.330 766.974
29001.2 774.331 766.975
29000.8 774.332 766.976
29000.2 774.332 766.976
28999.7 787.162 779.684
28999.4 798.527 790.941
28999.3 834.898 826.966
28998.4 834.899 826.967
28997.6 834.900 826.968
28994.4 834.903 826.971
28994.3 854.329 846.213
28993.7 854.919 846.797
28992.0 854.919 846.797
28990.3 854.920 846.798
28989.6 855.628 847.500
28989.2 855.628 847.500
28988.9 855.895 847.764
28988.6 855.895 847.764
28985.9 856.126 847.993
28981.1 856.126 847.993
28980.8 856.127 847.994
28980.1 856.128 847.995
28976.1 856.173 848.039
28948.6 856.177 848.043
28934.1 856.227 848.093
28930.1 856.352 848.217
28929.8 856.435 848.299
28929.6 856.436 848.300
28929.4 856.548 848.411
28921.8 856.593 848.455
28916.4 856.594 848.456
28916.3 977.769 968.480
28913.5 977.770 968.481
28912.1 977.792 968.503
28911.1 977.901 968.611
28910.7 978.972 969.672
28910.5 978.974 969.674
28909.9 981.875 972.547
28909.6 982.095 972.765
28908.4 982.347 973.015
28906.8 982.375 973.042
28903.6 982.477 973.143
28896.8 982.478 973.144
28894.8 982.479 973.145
28891.9 1056.704 1046.665
28890.4 1058.790 1048.731
28889.0 1060.003 1049.933
28888.9 1060.318 1050.245
28888.6 1374.793 1361.732
28888.4 1374.794 1361.733
28888.2 1374.794 1361.733
28887.9 1374.795 1361.734
28886.2 1374.796 1361.735
28885.3 1374.797 1361.736
28883.0 1374.798 1361.737
28882.9 1374.799 1361.738
28876.9 1374.800 1361.739
28874.3 1374.800 1361.739
28873.9 1374.801 1361.740
28870.3 1374.802 1361.741
28869.5 1374.866 1361.805
28868.8 1374.867 1361.806
28867.8 1374.868 1361.807
28861.0 1374.869 1361.808
28859.0 1374.870 1361.809
28845.2 1375.580 1362.512
28844.9 1375.580 1362.512
28843.5 1375.581 1362.513
28843.1 1375.582 1362.514
28842.3 1375.583 1362.515
28841.6 1375.584 1362.516
28840.9 1375.585 1362.517
28840.2 1375.586 1362.518
28839.9 1375.586 1362.518
28838.6 1375.831 1362.761
28837.8 1375.832 1362.762
28837.7 1375.833 1362.763
28836.9 1376.499 1363.422
28833.6 1376.551 1363.474
28833.1 1376.623 1363.545
28830.4 1376.641 1363.563
28828.8 1376.642 1363.564
28828.7 1376.643 1363.565
28827.3 1376.644 1363.566
28826.3 1376.945 1363.864
28823.4 1376.948 1363.867
28823.2 1377.086 1364.004
28822.2 1377.195 1364.112
28822.1 1377.513 1364.427
28819.7 1377.737 1364.648
28819.3 1377.865 1364.775
28818.7 1377.866 1364.776
28818.0 1453.726 1439.916
28817.9 1453.727 1439.917
28817.5 1453.886 1440.074
28816.2 1455.426 1441.599
28815.4 1455.655 1441.826
28813.2 1456.513 1442.676
28813.0 1456.514 1442.677
28812.3 1456.514 1442.677
28811.0 1457.714 1443.866
28810.0 1783.951 1767.003
28807.3 1784.423 1767.471
28807.2 1784.424 1767.472
28804.6 1784.436 1767.484
28802.9 1784.716 1767.761
28801.5 1784.717 1767.762
28800.9 1784.932 1767.975
28800.8 1784.933 1767.976
28796.3 1786.444 1769.473
28792.4 1786.445 1769.474
28792.0 1786.551 1769.579
28790.8 1786.723 1769.749
28790.1 1786.724 1769.750
28787.7 1787.280 1770.301
28787.2 1787.347 1770.367
28787.0 1872.945 1855.152
28786.9 1872.946 1855.153
28784.7 1874.066 1856.262
28784.4 1874.382 1856.575
28783.7 1874.383 1856.576
28783.0 1875.859 1858.038
28782.9 1875.901 1858.080
28777.1 2122.009 2101.850
28776.3 2122.010 2101.851
28776.2 2122.011 2101.852
28770.6 2146.374 2125.983
28767.0 2146.630 2126.237
28764.5 2147.040 2126.643
28761.2 2147.371 2126.971
28760.6 2147.768 2127.364
28759.9 2147.779 2127.375
28759.8 2147.780 2127.376
28758.7 2147.789 2127.385
28758.4 2147.790 2127.386
28758.0 2147.799 2127.395
28757.1 2148.068 2127.661
28756.4 2148.069 2127.662
28756.1 2148.071 2127.664
28747.5 2149.463 2129.043
28747.4 2150.728 2130.296
28747.0 2150.729 2130.297
28746.2 2150.731 2130.299
28746.1 2150.732 2130.300
28745.5 2151.015 2130.580
28744.1 2151.016 2130.581
28743.9 2151.252 2130.815
28742.7 2223.312 2202.191
28720.7 2223.706 2202.581
28719.6 2223.707 2202.582
28719.1 2444.654 2421.430
28718.9 2444.655 2421.431
28716.0 2444.656 2421.432
28713.8 2447.770 2424.516
28713.5 2448.045 2424.789
28713.1 2448.048 2424.792
28712.7 2522.519 2498.555
28711.5 2523.172 2499.202
28711.4 2523.172 2499.202
28710.4 2917.514 2889.798
28709.5 2917.515 2889.799
28709.2 2917.516 2889.800
28708.0 2917.517 2889.801
28707.7 2917.518 2889.802
28697.6 2917.590 2889.873
28687.9 2918.471 2890.746
28686.6 3258.058 3227.106
28683.5 3258.059 3227.107
28681.5 3259.295 3228.332
28680.9 3259.421 3228.457
28680.6 3542.255 3508.604
28679.7 3617.187 3582.824
Primal Integral: 2.2072401766
